hgnc_id,symbol,tier,domain,sources
HGNC:10940,SLC1A2,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd
HGNC:10941,SLC1A3,T1,ndd_with_epilepsy,clingen;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id
HGNC:10942,SLC1A4,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10969,SLC22A5,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10978,SLC24A4,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes
HGNC:10979,SLC25A1,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10982,SLC25A12,T1,ndd_with_epilepsy,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sfari;sysndd
HGNC:10983,SLC25A13,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id
HGNC:10985,SLC25A15,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:14409,SLC25A19,T1,ndd_with_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:1421,SLC25A20,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
